,code,name,lot_size,stock_type,stock_child_type,owner_stock_code,listing_date,stockid
160,US.ALL-E,Allstate Corporation Depositary Shares Representing 1/1000th Pe,1,STOCK,0,,1969-12-31,75213467500170
161,US.ALL-F,Allstate Corporation (The) Leopards Dep Shares Representing 1/1,1,STOCK,0,,1969-12-31,75213467500171
162,US.ALL-G,ALLSTATE CORP,1,STOCK,0,,1969-12-31,75690208872668
163,US.ALLE,Allegion plc Ordinary Shares Whe,1,STOCK,0,,1969-12-31,206769
164,US.ALLY,Ally Financial Inc.,1,STOCK,0,,1969-12-31,206698
165,US.ALLY-A,GMAC Capital Trust I Fixed Rate Floating Rate Trust Preferred S,1,STOCK,0,,1969-12-31,75213467500172
166,US.ALP-Q,"Alabama Power Company 5.00% Class A Preferred Stock, Cumulative",1,STOCK,0,,1969-12-31,75213467502410
167,US.ALSN,艾里遜變速箱控股公司,1,STOCK,0,,1969-12-31,206754
168,US.ALV,奧托立夫,1,STOCK,0,,1969-12-31,201677
169,US.ALV*,"Autoliv, Inc.",1,STOCK,0,,1969-12-31,75986561616293
170,US.ALX,亞歷山大公司,1,STOCK,0,,1969-12-31,205603
171,US.AM,Antero Midstream Partners,1,STOCK,0,,1969-12-31,210507
172,US.AMBR,"Amber Road, Inc.",1,STOCK,0,,1969-12-31,212130
173,US.AMC,AMC院線,1,STOCK,0,,2013-12-17,201455
174,US.AMD,美國超微公司,1,STOCK,0,,2015-01-01,205816
175,US.AME,阿美特克,1,STOCK,0,,1969-12-31,203548
176,US.AMG,艾佛裏管理公司,1,STOCK,0,,1969-12-31,201083
177,US.AMGP,Antero Midstream GP LP,1,STOCK,0,,2017-05-03,74217035088036
178,US.AMH,American Homes 4 Rent,1,STOCK,0,,1969-12-31,206874
179,US.AMH-C,American Homes 4 Rent Participating Pfd Ser C,1,STOCK,0,,1969-12-31,75213467500177
180,US.AMH-D,American Homes 4 Rent 6.5% Series D Cumulative Perpetual Prefer,1,STOCK,0,,1969-12-31,75213467500516
181,US.AMH-E,American Homes 4 Rent 6.35% Series E Cumulative Redeemable Perp,1,STOCK,0,,1969-12-31,75213467500517
182,US.AMH-F,American Homes 4 Rent 5.875% Series F Cumulative Redeemable Per,1,STOCK,0,,1969-12-31,75213467502371
183,US.AMH-G,American Homes 4 Rent Series G cumulative redeemable perpetual ,1,STOCK,0,,1969-12-31,75213467502394
184,US.AMID,American Midstream Partners LP,1,STOCK,0,,1969-12-31,207619
185,US.AMN,AMN醫療保健服務公司,1,STOCK,0,,1969-12-31,204776
186,US.AMP,阿莫斯萊斯金融,1,STOCK,0,,1969-12-31,201643
187,US.AMRC,阿梅雷斯克公司,1,STOCK,0,,1969-12-31,205401
188,US.AMRX,"Amneal Pharmaceuticals, Inc.",1,STOCK,0,,1969-12-31,75819057891630
189,US.AMS,American Shared Hospital Services,1,STOCK,0,,1969-12-31,209348
190,US.AMT,美國電塔,1,STOCK,0,,1969-12-31,201560
191,US.AMT-B,"AMT存托凭证,1/10th ownership interest in a share of 5.50% 强制可转换优先股,",1,STOCK,0,,1969-12-31,75213467500179
192,US.AMTD,亞美利交易,1,STOCK,0,,1969-12-31,205741
193,US.AMUB,ETRACS Alerian MLP Index ETN,1,STOCK,0,,1969-12-31,75028783905231
194,US.AMX,美洲移動,1,STOCK,0,,1969-12-31,205396
195,US.AN,車之國公司,1,STOCK,0,,1969-12-31,202596
196,US.ANDV,Andeavor,1,STOCK,0,,1969-12-31,74637941883494
197,US.ANDX,Andeavor Logistics LP,1,STOCK,0,,1969-12-31,74637941883495
198,US.ANET,"Arista Networks, Inc.",1,STOCK,0,,1969-12-31,210098
199,US.ANF,愛芬奇,1,STOCK,0,,1969-12-31,201323
200,US.ANFI,Amira Nature Foods Ltd.,1,STOCK,0,,1969-12-31,207439
